1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
325.png	right arrow curving down	⤵️	\U00002935\U0000FE0F	U+2935	right arrow curving down
326.png	clockwise vertical arrows	🔃️	\U0001F503\U0000FE0F	U+1F503	clockwise vertical arrows
327.png	counterclockwise arrows button	🔄️	\U0001F504\U0000FE0F	U+1F504	counterclockwise arrows button
328.png	BACK arrow	🔙️	\U0001F519\U0000FE0F	U+1F519	BACK arrow
329.png	END arrow	🔚️	\U0001F51A\U0000FE0F	U+1F51A	END arrow
330.png	ON! arrow	🔛️	\U0001F51B\U0000FE0F	U+1F51B	ON! arrow
331.png	SOON arrow	🔜️	\U0001F51C\U0000FE0F	U+1F51C	SOON arrow
332.png	TOP arrow	🔝️	\U0001F51D\U0000FE0F	U+1F51D	TOP arrow
333.png	place of worship	🛐️	\U0001F6D0\U0000FE0F	U+1F6D0	place of worship
334.png	atom symbol	⚛️	\U0000269B\U0000FE0F	U+269B	atom symbol
335.png	om	🕉️	\U0001F549\U0000FE0F	U+1F549	om
336.png	star of David	✡️	\U00002721\U0000FE0F	U+2721	star of David
337.png	wheel of dharma	☸️	\U00002638\U0000FE0F	U+2638	wheel of dharma
338.png	yin yang	☯️	\U0000262F\U0000FE0F	U+262F	yin yang
339.png	latin cross	✝️	\U0000271D\U0000FE0F	U+271D	latin cross
340.png	orthodox cross	☦️	\U00002626\U0000FE0F	U+2626	orthodox cross
341.png	star and crescent	☪️	\U0000262A\U0000FE0F	U+262A	star and crescent
342.png	peace symbol	☮️	\U0000262E\U0000FE0F	U+262E	peace symbol
343.png	menorah	🕎️	\U0001F54E\U0000FE0F	U+1F54E	menorah
344.png	dotted six-pointed star	🔯️	\U0001F52F\U0000FE0F	U+1F52F	dotted six-pointed star
345.png	Aries	♈️	\U00002648\U0000FE0F	U+2648	Aries
346.png	Taurus	♉️	\U00002649\U0000FE0F	U+2649	Taurus
347.png	Gemini	♊️	\U0000264A\U0000FE0F	U+264A	Gemini
348.png	Cancer	♋️	\U0000264B\U0000FE0F	U+264B	Cancer
349.png	Leo	♌️	\U0000264C\U0000FE0F	U+264C	Leo
350.png	Virgo	♍️	\U0000264D\U0000FE0F	U+264D	Virgo
351.png	Libra	♎️	\U0000264E\U0000FE0F	U+264E	Libra
352.png	Scorpio	♏️	\U0000264F\U0000FE0F	U+264F	Scorpio
353.png	Sagittarius	♐️	\U00002650\U0000FE0F	U+2650	Sagittarius
354.png	Capricorn	♑️	\U00002651\U0000FE0F	U+2651	Capricorn
355.png	Aquarius	♒️	\U00002652\U0000FE0F	U+2652	Aquarius
356.png	Pisces	♓️	\U00002653\U0000FE0F	U+2653	Pisces
357.png	Ophiuchus	⛎️	\U000026CE\U0000FE0F	U+26CE	Ophiuchus
358.png	shuffle tracks button	🔀️	\U0001F500\U0000FE0F	U+1F500	shuffle tracks button
359.png	repeat button	🔁️	\U0001F501\U0000FE0F	U+1F501	repeat button
360.png	repeat single button	🔂️	\U0001F502\U0000FE0F	U+1F502	repeat single button
361.png	play button	▶️	\U000025B6\U0000FE0F	U+25B6	play button
362.png	fast-forward button	⏩️	\U000023E9\U0000FE0F	U+23E9	fast-forward button
363.png	next track button	⏭️	\U000023ED\U0000FE0F	U+23ED	next track button
364.png	play or pause button	⏯️	\U000023EF\U0000FE0F	U+23EF	play or pause button
365.png	reverse button	◀️	\U000025C0\U0000FE0F	U+25C0	reverse button
366.png	fast reverse button	⏪️	\U000023EA\U0000FE0F	U+23EA	fast reverse button
367.png	last track button	⏮️	\U000023EE\U0000FE0F	U+23EE	last track button
368.png	upwards button	🔼️	\U0001F53C\U0000FE0F	U+1F53C	upwards button
369.png	fast up button	⏫️	\U000023EB\U0000FE0F	U+23EB	fast up button
370.png	downwards button	🔽️	\U0001F53D\U0000FE0F	U+1F53D	downwards button
371.png	fast down button	⏬️	\U000023EC\U0000FE0F	U+23EC	fast down button
372.png	pause button	⏸️	\U000023F8\U0000FE0F	U+23F8	pause button
373.png	stop button	⏹️	\U000023F9\U0000FE0F	U+23F9	stop button
374.png	record button	⏺️	\U000023FA\U0000FE0F	U+23FA	record button
375.png	eject button	⏏️	\U000023CF\U0000FE0F	U+23CF	eject button
376.png	cinema	🎦️	\U0001F3A6\U0000FE0F	U+1F3A6	cinema
377.png	dim button	🔅️	\U0001F505\U0000FE0F	U+1F505	dim button
378.png	bright button	🔆️	\U0001F506\U0000FE0F	U+1F506	bright button
379.png	antenna bars	📶️	\U0001F4F6\U0000FE0F	U+1F4F6	antenna bars
380.png	vibration mode	📳️	\U0001F4F3\U0000FE0F	U+1F4F3	vibration mode
381.png	mobile phone off	📴️	\U0001F4F4\U0000FE0F	U+1F4F4	mobile phone off
382.png	female sign	♀️	\U00002640\U0000FE0F	U+2640	female sign
383.png	male sign	♂️	\U00002642\U0000FE0F	U+2642	male sign
384.png	transgender symbol	⚧️	\U000026A7\U0000FE0F	U+26A7	transgender symbol
385.png	multiply	✖️	\U00002716\U0000FE0F	U+2716	multiply
386.png	plus	➕️	\U00002795\U0000FE0F	U+2795	plus
387.png	minus	➖️	\U00002796\U0000FE0F	U+2796	minus
388.png	divide	➗️	\U00002797\U0000FE0F	U+2797	divide
389.png	infinity	♾️	\U0000267E\U0000FE0F	U+267E	infinity
390.png	double exclamation mark	‼️	\U0000203C\U0000FE0F	U+203C	double exclamation mark
391.png	exclamation question mark	⁉️	\U00002049\U0000FE0F	U+2049	exclamation question mark
392.png	red question mark	❓️	\U00002753\U0000FE0F	U+2753	red question mark
393.png	white question mark	❔️	\U00002754\U0000FE0F	U+2754	white question mark
394.png	white exclamation mark	❕️	\U00002755\U0000FE0F	U+2755	white exclamation mark
395.png	red exclamation mark	❗️	\U00002757\U0000FE0F	U+2757	red exclamation mark
396.png	wavy dash	〰️	\U00003030\U0000FE0F	U+3030	wavy dash
397.png	currency exchange	💱️	\U0001F4B1\U0000FE0F	U+1F4B1	currency exchange
398.png	heavy dollar sign	💲️	\U0001F4B2\U0000FE0F	U+1F4B2	heavy dollar sign
399.png	medical symbol	⚕️	\U00002695\U0000FE0F	U+2695	medical symbol
400.png	recycling symbol	♻️	\U0000267B\U0000FE0F	U+267B	recycling symbol
401.png	fleur-de-lis	⚜️	\U0000269C\U0000FE0F	U+269C	fleur-de-lis
402.png	trident emblem	🔱️	\U0001F531\U0000FE0F	U+1F531	trident emblem
403.png	name badge	📛️	\U0001F4DB\U0000FE0F	U+1F4DB	name badge
404.png	Japanese symbol for beginner	🔰️	\U0001F530\U0000FE0F	U+1F530	Japanese symbol for beginner
405.png	hollow red circle	⭕️	\U00002B55\U0000FE0F	U+2B55	hollow red circle
406.png	check mark button	✅️	\U00002705\U0000FE0F	U+2705	check mark button
407.png	check box with check	☑️	\U00002611\U0000FE0F	U+2611	check box with check
408.png	check mark	✔️	\U00002714\U0000FE0F	U+2714	check mark
409.png	cross mark	❌️	\U0000274C\U0000FE0F	U+274C	cross mark
410.png	cross mark button	❎️	\U0000274E\U0000FE0F	U+274E	cross mark button
411.png	curly loop	➰️	\U000027B0\U0000FE0F	U+27B0	curly loop
412.png	double curly loop	➿️	\U000027BF\U0000FE0F	U+27BF	double curly loop
413.png	part alternation mark	〽️	\U0000303D\U0000FE0F	U+303D	part alternation mark
414.png	eight-spoked asterisk	✳️	\U00002733\U0000FE0F	U+2733	eight-spoked asterisk
415.png	eight-pointed star	✴️	\U00002734\U0000FE0F	U+2734	eight-pointed star
416.png	sparkle	❇️	\U00002747\U0000FE0F	U+2747	sparkle
417.png	copyright	©️	\U000000A9\U0000FE0F	U+00A9	copyright
418.png	registered	®️	\U000000AE\U0000FE0F	U+00AE	registered
419.png	trade mark	™️	\U00002122\U0000FE0F	U+2122	trade mark
420.png	keycap: #	#️⃣️	\U00000023\U0000FE0F\U000020E3\U0000FE0F	U+0023 U+FE0F U+20E3	keycap: #
421.png	keycap: *	*️⃣️	\U0000002A\U0000FE0F\U000020E3\U0000FE0F	U+002A U+FE0F U+20E3	keycap: *
422.png	keycap: 0	0️⃣️	\U00000030\U0000FE0F\U000020E3\U0000FE0F	U+0030 U+FE0F U+20E3	keycap: 0
423.png	keycap: 1	1️⃣️	\U00000031\U0000FE0F\U000020E3\U0000FE0F	U+0031 U+FE0F U+20E3	keycap: 1
424.png	keycap: 2	2️⃣️	\U00000032\U0000FE0F\U000020E3\U0000FE0F	U+0032 U+FE0F U+20E3	keycap: 2
425.png	keycap: 3	3️⃣️	\U00000033\U0000FE0F\U000020E3\U0000FE0F	U+0033 U+FE0F U+20E3	keycap: 3
426.png	keycap: 4	4️⃣️	\U00000034\U0000FE0F\U000020E3\U0000FE0F	U+0034 U+FE0F U+20E3	keycap: 4
427.png	keycap: 5	5️⃣️	\U00000035\U0000FE0F\U000020E3\U0000FE0F	U+0035 U+FE0F U+20E3	keycap: 5
428.png	keycap: 6	6️⃣️	\U00000036\U0000FE0F\U000020E3\U0000FE0F	U+0036 U+FE0F U+20E3	keycap: 6
429.png	keycap: 7	7️⃣️	\U00000037\U0000FE0F\U000020E3\U0000FE0F	U+0037 U+FE0F U+20E3	keycap: 7
430.png	keycap: 8	8️⃣️	\U00000038\U0000FE0F\U000020E3\U0000FE0F	U+0038 U+FE0F U+20E3	keycap: 8
431.png	keycap: 9	9️⃣️	\U00000039\U0000FE0F\U000020E3\U0000FE0F	U+0039 U+FE0F U+20E3	keycap: 9
432.png	keycap: 10	🔟️	\U0001F51F\U0000FE0F	U+1F51F	keycap: 10
433.png	input latin uppercase	🔠️	\U0001F520\U0000FE0F	U+1F520	input latin uppercase
434.png	input latin lowercase	🔡️	\U0001F521\U0000FE0F	U+1F521	input latin lowercase
435.png	input numbers	🔢️	\U0001F522\U0000FE0F	U+1F522	input numbers
436.png	input symbols	🔣️	\U0001F523\U0000FE0F	U+1F523	input symbols
437.png	input latin letters	🔤️	\U0001F524\U0000FE0F	U+1F524	input latin letters
438.png	A button (blood type)	🅰️	\U0001F170\U0000FE0F	U+1F170	A button (blood type)
439.png	AB button (blood type)	🆎️	\U0001F18E\U0000FE0F	U+1F18E	AB button (blood type)
440.png	B button (blood type)	🅱️	\U0001F171\U0000FE0F	U+1F171	B button (blood type)
441.png	CL button	🆑️	\U0001F191\U0000FE0F	U+1F191	CL button
442.png	COOL button	🆒️	\U0001F192\U0000FE0F	U+1F192	COOL button
443.png	FREE button	🆓️	\U0001F193\U0000FE0F	U+1F193	FREE button
444.png	information	ℹ️	\U00002139\U0000FE0F	U+2139	information
445.png	ID button	🆔️	\U0001F194\U0000FE0F	U+1F194	ID button
446.png	circled M	Ⓜ️	\U000024C2\U0000FE0F	U+24C2	circled M
447.png	NEW button	🆕️	\U0001F195\U0000FE0F	U+1F195	NEW button
448.png	NG button	🆖️	\U0001F196\U0000FE0F	U+1F196	NG button
449.png	O button (blood type)	🅾️	\U0001F17E\U0000FE0F	U+1F17E	O button (blood type)
450.png	OK button	🆗️	\U0001F197\U0000FE0F	U+1F197	OK button
451.png	P button	🅿️	\U0001F17F\U0000FE0F	U+1F17F	P button
452.png	SOS button	🆘️	\U0001F198\U0000FE0F	U+1F198	SOS button
453.png	UP! button	🆙️	\U0001F199\U0000FE0F	U+1F199	UP! button
454.png	VS button	🆚️	\U0001F19A\U0000FE0F	U+1F19A	VS button
455.png	Japanese “here” button	🈁️	\U0001F201\U0000FE0F	U+1F201	Japanese “here” button
456.png	Japanese “service charge” button	🈂️	\U0001F202\U0000FE0F	U+1F202	Japanese “service charge” button
457.png	Japanese “monthly amount” button	🈷️	\U0001F237\U0000FE0F	U+1F237	Japanese “monthly amount” button
458.png	Japanese “not free of charge” button	🈶️	\U0001F236\U0000FE0F	U+1F236	Japanese “not free of charge” button
459.png	Japanese “reserved” button	🈯️	\U0001F22F\U0000FE0F	U+1F22F	Japanese “reserved” button
460.png	Japanese “bargain” button	🉐️	\U0001F250\U0000FE0F	U+1F250	Japanese “bargain” button
461.png	Japanese “discount” button	🈹️	\U0001F239\U0000FE0F	U+1F239	Japanese “discount” button
462.png	Japanese “free of charge” button	🈚️	\U0001F21A\U0000FE0F	U+1F21A	Japanese “free of charge” button
463.png	Japanese “prohibited” button	🈲️	\U0001F232\U0000FE0F	U+1F232	Japanese “prohibited” button
464.png	Japanese “acceptable” button	🉑️	\U0001F251\U0000FE0F	U+1F251	Japanese “acceptable” button
465.png	Japanese “application” button	🈸️	\U0001F238\U0000FE0F	U+1F238	Japanese “application” button
466.png	Japanese “passing grade” button	🈴️	\U0001F234\U0000FE0F	U+1F234	Japanese “passing grade” button
467.png	Japanese “vacancy” button	🈳️	\U0001F233\U0000FE0F	U+1F233	Japanese “vacancy” button
468.png	Japanese “congratulations” button	㊗️	\U00003297\U0000FE0F	U+3297	Japanese “congratulations” button
469.png	Japanese “secret” button	㊙️	\U00003299\U0000FE0F	U+3299	Japanese “secret” button
470.png	Japanese “open for business” button	🈺️	\U0001F23A\U0000FE0F	U+1F23A	Japanese “open for business” button
471.png	Japanese “no vacancy” button	🈵️	\U0001F235\U0000FE0F	U+1F235	Japanese “no vacancy” button
472.png	red circle	🔴️	\U0001F534\U0000FE0F	U+1F534	red circle
473.png	orange circle	🟠️	\U0001F7E0\U0000FE0F	U+1F7E0	orange circle
474.png	yellow circle	🟡️	\U0001F7E1\U0000FE0F	U+1F7E1	yellow circle
475.png	green circle	🟢️	\U0001F7E2\U0000FE0F	U+1F7E2	green circle
476.png	blue circle	🔵️	\U0001F535\U0000FE0F	U+1F535	blue circle
477.png	purple circle	🟣️	\U0001F7E3\U0000FE0F	U+1F7E3	purple circle
478.png	brown circle	🟤️	\U0001F7E4\U0000FE0F	U+1F7E4	brown circle
479.png	black circle	⚫️	\U000026AB\U0000FE0F	U+26AB	black circle
480.png	white circle	⚪️	\U000026AA\U0000FE0F	U+26AA	white circle
481.png	red square	🟥️	\U0001F7E5\U0000FE0F	U+1F7E5	red square
482.png	orange square	🟧️	\U0001F7E7\U0000FE0F	U+1F7E7	orange square
483.png	yellow square	🟨️	\U0001F7E8\U0000FE0F	U+1F7E8	yellow square
484.png	green square	🟩️	\U0001F7E9\U0000FE0F	U+1F7E9	green square
485.png	blue square	🟦️	\U0001F7E6\U0000FE0F	U+1F7E6	blue square
486.png	purple square	🟪️	\U0001F7EA\U0000FE0F	U+1F7EA	purple square
487.png	brown square	🟫️	\U0001F7EB\U0000FE0F	U+1F7EB	brown square
488.png	black large square	⬛️	\U00002B1B\U0000FE0F	U+2B1B	black large square
489.png	white large square	⬜️	\U00002B1C\U0000FE0F	U+2B1C	white large square
490.png	black medium square	◼️	\U000025FC\U0000FE0F	U+25FC	black medium square
491.png	white medium square	◻️	\U000025FB\U0000FE0F	U+25FB	white medium square
492.png	black medium-small square	◾️	\U000025FE\U0000FE0F	U+25FE	black medium-small square
493.png	white medium-small square	◽️	\U000025FD\U0000FE0F	U+25FD	white medium-small square
494.png	black small square	▪️	\U000025AA\U0000FE0F	U+25AA	black small square
495.png	white small square	▫️	\U000025AB\U0000FE0F	U+25AB	white small square
496.png	large orange diamond	🔶️	\U0001F536\U0000FE0F	U+1F536	large orange diamond
497.png	large blue diamond	🔷️	\U0001F537\U0000FE0F	U+1F537	large blue diamond
498.png	small orange diamond	🔸️	\U0001F538\U0000FE0F	U+1F538	small orange diamond
499.png	small blue diamond	🔹️	\U0001F539\U0000FE0F	U+1F539	small blue diamond
500.png	red triangle pointed up	🔺️	\U0001F53A\U0000FE0F	U+1F53A	red triangle pointed up
501.png	red triangle pointed down	🔻️	\U0001F53B\U0000FE0F	U+1F53B	red triangle pointed down
502.png	diamond with a dot	💠️	\U0001F4A0\U0000FE0F	U+1F4A0	diamond with a dot
503.png	radio button	🔘️	\U0001F518\U0000FE0F	U+1F518	radio button
504.png	white square button	🔳️	\U0001F533\U0000FE0F	U+1F533	white square button
505.png	black square button	🔲️	\U0001F532\U0000FE0F	U+1F532	black square button
506.png	chequered flag	🏁️	\U0001F3C1\U0000FE0F	U+1F3C1	chequered flag
507.png	triangular flag	🚩️	\U0001F6A9\U0000FE0F	U+1F6A9	triangular flag
508.png	crossed flags	🎌️	\U0001F38C\U0000FE0F	U+1F38C	crossed flags
509.png	black flag	🏴️	\U0001F3F4\U0000FE0F	U+1F3F4	black flag
510.png	white flag	🏳️	\U0001F3F3\U0000FE0F	U+1F3F3	white flag
511.png	rainbow flag	🏳️‍🌈️	\U0001F3F3\U0000FE0F\U0000200D\U0001F308\U0000FE0F	U+1F3F3 U+FE0F U+200D U+1F308	rainbow flag
512.png	transgender flag	🏳️‍⚧️️	\U0001F3F3\U0000FE0F\U0000200D\U000026A7\U0000FE0F\U0000FE0F	U+1F3F3 U+FE0F U+200D U+26A7 U+FE0F	transgender flag
513.png	pirate flag	🏴‍☠️️	\U0001F3F4\U0000200D\U00002620\U0000FE0F\U0000FE0F	U+1F3F4 U+200D U+2620 U+FE0F	pirate flag
514.png	flag: Ascension Island	🇦🇨️	\U0001F1E6\U0001F1E8\U0000FE0F	U+1F1E6 U+1F1E8	flag: Ascension Island
515.png	flag: Andorra	🇦🇩️	\U0001F1E6\U0001F1E9\U0000FE0F	U+1F1E6 U+1F1E9	flag: Andorra
516.png	flag: United Arab Emirates	🇦🇪️	\U0001F1E6\U0001F1EA\U0000FE0F	U+1F1E6 U+1F1EA	flag: United Arab Emirates
517.png	flag: Afghanistan	🇦🇫️	\U0001F1E6\U0001F1EB\U0000FE0F	U+1F1E6 U+1F1EB	flag: Afghanistan
518.png	flag: Antigua & Barbuda	🇦🇬️	\U0001F1E6\U0001F1EC\U0000FE0F	U+1F1E6 U+1F1EC	flag: Antigua & Barbuda
519.png	flag: Anguilla	🇦🇮️	\U0001F1E6\U0001F1EE\U0000FE0F	U+1F1E6 U+1F1EE	flag: Anguilla
520.png	flag: Albania	🇦🇱️	\U0001F1E6\U0001F1F1\U0000FE0F	U+1F1E6 U+1F1F1	flag: Albania
521.png	flag: Armenia	🇦🇲️	\U0001F1E6\U0001F1F2\U0000FE0F	U+1F1E6 U+1F1F2	flag: Armenia
522.png	flag: Angola	🇦🇴️	\U0001F1E6\U0001F1F4\U0000FE0F	U+1F1E6 U+1F1F4	flag: Angola
523.png	flag: Antarctica	🇦🇶️	\U0001F1E6\U0001F1F6\U0000FE0F	U+1F1E6 U+1F1F6	flag: Antarctica
524.png	flag: Argentina	🇦🇷️	\U0001F1E6\U0001F1F7\U0000FE0F	U+1F1E6 U+1F1F7	flag: Argentina
525.png	flag: American Samoa	🇦🇸️	\U0001F1E6\U0001F1F8\U0000FE0F	U+1F1E6 U+1F1F8	flag: American Samoa
526.png	flag: Austria	🇦🇹️	\U0001F1E6\U0001F1F9\U0000FE0F	U+1F1E6 U+1F1F9	flag: Austria
527.png	flag: Australia	🇦🇺️	\U0001F1E6\U0001F1FA\U0000FE0F	U+1F1E6 U+1F1FA	flag: Australia
528.png	flag: Aruba	🇦🇼️	\U0001F1E6\U0001F1FC\U0000FE0F	U+1F1E6 U+1F1FC	flag: Aruba
529.png	flag: Åland Islands	🇦🇽️	\U0001F1E6\U0001F1FD\U0000FE0F	U+1F1E6 U+1F1FD	flag: Åland Islands
530.png	flag: Azerbaijan	🇦🇿️	\U0001F1E6\U0001F1FF\U0000FE0F	U+1F1E6 U+1F1FF	flag: Azerbaijan
531.png	flag: Bosnia & Herzegovina	🇧🇦️	\U0001F1E7\U0001F1E6\U0000FE0F	U+1F1E7 U+1F1E6	flag: Bosnia & Herzegovina
532.png	flag: Barbados	🇧🇧️	\U0001F1E7\U0001F1E7\U0000FE0F	U+1F1E7 U+1F1E7	flag: Barbados
533.png	flag: Bangladesh	🇧🇩️	\U0001F1E7\U0001F1E9\U0000FE0F	U+1F1E7 U+1F1E9	flag: Bangladesh
534.png	flag: Belgium	🇧🇪️	\U0001F1E7\U0001F1EA\U0000FE0F	U+1F1E7 U+1F1EA	flag: Belgium
535.png	flag: Burkina Faso	🇧🇫️	\U0001F1E7\U0001F1EB\U0000FE0F	U+1F1E7 U+1F1EB	flag: Burkina Faso
536.png	flag: Bulgaria	🇧🇬️	\U0001F1E7\U0001F1EC\U0000FE0F	U+1F1E7 U+1F1EC	flag: Bulgaria
537.png	flag: Bahrain	🇧🇭️	\U0001F1E7\U0001F1ED\U0000FE0F	U+1F1E7 U+1F1ED	flag: Bahrain
538.png	flag: Burundi	🇧🇮️	\U0001F1E7\U0001F1EE\U0000FE0F	U+1F1E7 U+1F1EE	flag: Burundi
539.png	flag: Benin	🇧🇯️	\U0001F1E7\U0001F1EF\U0000FE0F	U+1F1E7 U+1F1EF	flag: Benin
540.png	flag: St. Barthélemy	🇧🇱️	\U0001F1E7\U0001F1F1\U0000FE0F	U+1F1E7 U+1F1F1	flag: St. Barthélemy
541.png	flag: Bermuda	🇧🇲️	\U0001F1E7\U0001F1F2\U0000FE0F	U+1F1E7 U+1F1F2	flag: Bermuda
542.png	flag: Brunei	🇧🇳️	\U0001F1E7\U0001F1F3\U0000FE0F	U+1F1E7 U+1F1F3	flag: Brunei
543.png	flag: Bolivia	🇧🇴️	\U0001F1E7\U0001F1F4\U0000FE0F	U+1F1E7 U+1F1F4	flag: Bolivia
544.png	flag: Caribbean Netherlands	🇧🇶️	\U0001F1E7\U0001F1F6\U0000FE0F	U+1F1E7 U+1F1F6	flag: Caribbean Netherlands
545.png	flag: Brazil	🇧🇷️	\U0001F1E7\U0001F1F7\U0000FE0F	U+1F1E7 U+1F1F7	flag: Brazil
546.png	flag: Bahamas	🇧🇸️	\U0001F1E7\U0001F1F8\U0000FE0F	U+1F1E7 U+1F1F8	flag: Bahamas
547.png	flag: Bhutan	🇧🇹️	\U0001F1E7\U0001F1F9\U0000FE0F	U+1F1E7 U+1F1F9	flag: Bhutan
548.png	flag: Bouvet Island	🇧🇻️	\U0001F1E7\U0001F1FB\U0000FE0F	U+1F1E7 U+1F1FB	flag: Bouvet Island
549.png	flag: Botswana	🇧🇼️	\U0001F1E7\U0001F1FC\U0000FE0F	U+1F1E7 U+1F1FC	flag: Botswana
550.png	flag: Belarus	🇧🇾️	\U0001F1E7\U0001F1FE\U0000FE0F	U+1F1E7 U+1F1FE	flag: Belarus
551.png	flag: Belize	🇧🇿️	\U0001F1E7\U0001F1FF\U0000FE0F	U+1F1E7 U+1F1FF	flag: Belize
552.png	flag: Canada	🇨🇦️	\U0001F1E8\U0001F1E6\U0000FE0F	U+1F1E8 U+1F1E6	flag: Canada
553.png	flag: Cocos (Keeling) Islands	🇨🇨️	\U0001F1E8\U0001F1E8\U0000FE0F	U+1F1E8 U+1F1E8	flag: Cocos (Keeling) Islands
554.png	flag: Congo - Kinshasa	🇨🇩️	\U0001F1E8\U0001F1E9\U0000FE0F	U+1F1E8 U+1F1E9	flag: Congo - Kinshasa
555.png	flag: Central African Republic	🇨🇫️	\U0001F1E8\U0001F1EB\U0000FE0F	U+1F1E8 U+1F1EB	flag: Central African Republic
556.png	flag: Congo - Brazzaville	🇨🇬️	\U0001F1E8\U0001F1EC\U0000FE0F	U+1F1E8 U+1F1EC	flag: Congo - Brazzaville
557.png	flag: Switzerland	🇨🇭️	\U0001F1E8\U0001F1ED\U0000FE0F	U+1F1E8 U+1F1ED	flag: Switzerland
558.png	flag: Côte d’Ivoire	🇨🇮️	\U0001F1E8\U0001F1EE\U0000FE0F	U+1F1E8 U+1F1EE	flag: Côte d’Ivoire
559.png	flag: Cook Islands	🇨🇰️	\U0001F1E8\U0001F1F0\U0000FE0F	U+1F1E8 U+1F1F0	flag: Cook Islands
560.png	flag: Chile	🇨🇱️	\U0001F1E8\U0001F1F1\U0000FE0F	U+1F1E8 U+1F1F1	flag: Chile
561.png	flag: Cameroon	🇨🇲️	\U0001F1E8\U0001F1F2\U0000FE0F	U+1F1E8 U+1F1F2	flag: Cameroon
562.png	flag: China	🇨🇳️	\U0001F1E8\U0001F1F3\U0000FE0F	U+1F1E8 U+1F1F3	flag: China
563.png	flag: Colombia	🇨🇴️	\U0001F1E8\U0001F1F4\U0000FE0F	U+1F1E8 U+1F1F4	flag: Colombia
564.png	flag: Clipperton Island	🇨🇵️	\U0001F1E8\U0001F1F5\U0000FE0F	U+1F1E8 U+1F1F5	flag: Clipperton Island
565.png	flag: Costa Rica	🇨🇷️	\U0001F1E8\U0001F1F7\U0000FE0F	U+1F1E8 U+1F1F7	flag: Costa Rica
566.png	flag: Cuba	🇨🇺️	\U0001F1E8\U0001F1FA\U0000FE0F	U+1F1E8 U+1F1FA	flag: Cuba
567.png	flag: Cape Verde	🇨🇻️	\U0001F1E8\U0001F1FB\U0000FE0F	U+1F1E8 U+1F1FB	flag: Cape Verde
568.png	flag: Curaçao	🇨🇼️	\U0001F1E8\U0001F1FC\U0000FE0F	U+1F1E8 U+1F1FC	flag: Curaçao
569.png	flag: Christmas Island	🇨🇽️	\U0001F1E8\U0001F1FD\U0000FE0F	U+1F1E8 U+1F1FD	flag: Christmas Island
570.png	flag: Cyprus	🇨🇾️	\U0001F1E8\U0001F1FE\U0000FE0F	U+1F1E8 U+1F1FE	flag: Cyprus
571.png	flag: Czechia	🇨🇿️	\U0001F1E8\U0001F1FF\U0000FE0F	U+1F1E8 U+1F1FF	flag: Czechia
572.png	flag: Germany	🇩🇪️	\U0001F1E9\U0001F1EA\U0000FE0F	U+1F1E9 U+1F1EA	flag: Germany
573.png	flag: Diego Garcia	🇩🇬️	\U0001F1E9\U0001F1EC\U0000FE0F	U+1F1E9 U+1F1EC	flag: Diego Garcia
574.png	flag: Djibouti	🇩🇯️	\U0001F1E9\U0001F1EF\U0000FE0F	U+1F1E9 U+1F1EF	flag: Djibouti
575.png	flag: Denmark	🇩🇰️	\U0001F1E9\U0001F1F0\U0000FE0F	U+1F1E9 U+1F1F0	flag: Denmark
576.png	flag: Dominica	🇩🇲️	\U0001F1E9\U0001F1F2\U0000FE0F	U+1F1E9 U+1F1F2	flag: Dominica
